,subject,session,scan,bias_max,bias_med,bias_min,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,qi1,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
20,sub-316,ses-FU,T1w,3.3898627758,0.830534994602,0.386702388525,0.843574523926,0.502218969446,185.887893677,2.09009,2.03133,2.17726,2.06444,0.199520219994,0.419424051761,0.381055728245,0.661482502658,107353.507812,214050.0,217896.375,170,256,256,2.76689600945,1.73766362667,2.85972499847,3.7032995224,0.999999940395,1.0,1.0,780.049804688,348.379943848,485.802734375,675.464477539,275.360198975,62.9886512756,70.0103302002,89.7680740356,1328.61303711,998.180725098,949.992675781,1301.0769043,326.653839111,319.101226807,267.480010986,370.192321777
21,sub-318,ses-BL,T1w,1.25267696381,0.41758865118,0.217970654368,1.80712664127,0.408954481973,21.2890148163,3.13513,2.99171,3.58042,2.87683,0.171067807871,0.41760795895,0.411324233179,0.816083463481,87571.109375,158287.203125,69452.5703125,256,182,256,2.7236032486,1.40604794025,2.47881770134,4.28594446182,0.879999995232,1.20000004768,0.879999995232,465.120574951,146.835342407,265.410552979,554.397216797,170.856918335,56.4156494141,42.5828674316,137.11277771,798.42755127,243.142547607,492.856506348,837.856079102,205.103134155,110.833381653,136.49899292,221.991821289
22,sub-207,ses-FU,T1w,2.64015340805,0.602922677994,0.296196192503,1.21457386017,0.421475531966,230.327087402,2.14738,2.09303,2.26195,2.09156,0.176203504467,0.379786387031,0.444010108502,0.524270917856,80908.7109375,137274.9375,132280.59375,170,256,256,3.00802826881,1.88627421856,2.96161842346,4.17619228363,1.0,1.0,1.0,688.100524902,294.159088135,396.868103027,660.334960938,238.123077393,72.3440551758,53.5211639404,105.454864502,1133.91943359,884.45715332,731.378051758,1139.58898926,277.735626221,291.898071289,209.030090332,324.390075684
23,sub-302,ses-FU,T1w,1.36781299114,0.404079675674,0.193346276879,1.0760525465,0.466124711025,276.603759766,2.12242,2.08622,2.22282,2.06172,0.165513177365,0.371970708298,0.462516114337,0.356291857596,98532.640625,163441.125,154263.921875,170,256,256,2.84074497223,1.94589984417,2.75014138222,3.82619404793,1.0,1.0,1.0,814.023254395,377.568115234,458.319366455,770.293395996,319.462738037,76.6710586548,65.4259719849,119.479415894,1328.96508789,1105.34106445,862.549438477,1328.96508789,317.5703125,378.195892334,244.426849365,370.077575684
24,sub-103,ses-BL,T1w,1.2672175169,0.504004836082,0.272126972675,1.73367631435,0.408094720258,98.5554122925,2.96182,2.83501,3.36941,2.71999,0.184419416383,0.396427223172,0.419153360445,0.593954334808,100089.59375,169863.609375,81021.7578125,256,182,256,2.7342607975,1.45942008495,2.5048429966,4.23851919174,0.879999935627,1.20000004768,0.880000054836,489.95980835,158.126480103,270.059814453,573.043457031,187.834762573,63.7364845276,42.4060821533,146.12928772,824.562744141,264.242126465,490.280548096,865.950073242,204.937637329,82.9404220581,138.785552979,230.054321289
25,sub-305,ses-BL,T1w,1.2032674551,0.429906874895,0.2156996876,2.09140372276,0.414998323616,158.364181519,3.19359,3.06155,3.66793,2.90051,0.183916276088,0.398855772979,0.417227950933,0.708354689903,105656.914062,164426.546875,73859.171875,256,182,256,3.06306052208,1.60278618336,2.74749588966,4.83889961243,0.879999935627,1.20000016689,0.879999935627,492.48651123,154.995681763,268.214111328,594.328796387,174.406082153,64.8572616577,39.532169342,149.807723999,850.229675293,257.97567749,502.610839844,886.56427002,222.333236694,121.652229309,141.716842651,235.20866394
26,sub-320,ses-FU,T1w,1.57987761497,0.507524907589,0.233288943768,1.56889951229,0.420908961585,250.801971436,2.11676,2.11469,2.21046,2.02902,0.161275985902,0.374162142429,0.46456187167,0.530957167254,100809.007812,153468.859375,150546.1875,256,256,170,3.62036299706,2.41788172722,3.43715381622,5.00605344772,1.0,1.0,1.0,930.420166016,420.74508667,511.16015625,902.372741699,347.780212402,92.741394043,66.0784683228,135.171237183,1530.23291016,1290.65100098,958.327697754,1545.68981934,371.65814209,418.33807373,273.168395996,435.661132812
27,sub-313,ses-FU,T1w,2.2473692894,0.609134435654,0.30772086978,1.13602149487,0.412893348441,205.963317871,2.27338,2.2379,2.35277,2.2315,0.157299620222,0.385095527959,0.45760485182,0.620185236071,78432.2265625,125398.765625,123982.742188,170,256,256,2.96473622322,2.04735445976,2.85541653633,3.99143791199,1.0,0.999999940395,1.0,810.979064941,382.794494629,457.549499512,762.01776123,331.035919189,87.606300354,68.8200042725,119.882476807,1330.05493164,1152.71435547,857.14654541,1335.96630859,315.590393066,372.696929932,244.72076416,375.410797119
28,sub-126,ses-FU,T1w,1.74548435211,0.461560606956,0.238106861711,0.99760723114,0.444487535701,213.909164429,2.23625,2.18904,2.37477,2.15121,0.144335100674,0.394689640089,0.460975259237,0.744713497962,75749.2265625,129428.359375,137969.078125,170,256,256,2.7811858654,1.8973171711,2.72431635857,3.72192358971,1.0,1.0,1.0,799.965515137,367.378143311,462.26083374,732.073730469,326.107940674,82.78125,73.7505645752,101.595443726,1273.07519531,1110.02050781,847.190307617,1266.80395508,294.931518555,356.293334961,238.535003662,360.640930176
29,sub-104,ses-BL,T1w,1.78659546375,0.532094419003,0.292720168829,2.07400035858,0.364866219174,109.566825867,2.82868,2.69012,2.78842,3.01731,0.18332026334,0.409232904078,0.407446832582,0.708075565016,90663.65625,138071.515625,68757.0625,256,256,182,3.0741853714,1.58560478687,2.78147554398,4.85547590256,0.879999995232,0.880000054836,1.20000016689,984.893676758,308.860870361,534.377258301,1163.2545166,354.390838623,118.302124023,70.3628387451,278.358215332,1707.51953125,515.477600098,979.407470703,1784.84118652,442.44619751,244.775024414,280.271026611,490.300201416
